,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT210416C00110000,2021-03-30 18:58:59,110.0,146.1,146.05,146.15,23.800003,19.460344,1.0,17,1.0000000000000003e-05,True,REGULAR,USD
2,MSFT210416C00120000,2021-04-12 16:31:31,120.0,137.35,136.05,136.15,5.350006,4.053035,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
7,MSFT210416C00145000,2021-04-09 18:26:38,145.0,110.6,110.6,111.25,0.69999695,0.6369399,1.0,37,1.671876640625,True,REGULAR,USD
9,MSFT210416C00155000,2021-04-12 18:47:25,155.0,101.1,100.5,101.25,6.5499954,6.927546,2.0,24,1.484377578125,True,REGULAR,USD
10,MSFT210416C00160000,2021-04-12 17:32:09,160.0,97.33,95.3,96.15,2.3300018,2.4526336,10.0,33,1.0000000000000003e-05,True,REGULAR,USD
12,MSFT210416C00170000,2021-04-12 17:21:39,170.0,87.14,85.55,86.65,4.2699966,5.1526446,2.0,0,1.7949229003906249,True,REGULAR,USD
13,MSFT210416C00175000,2021-04-12 16:23:09,175.0,81.82,80.6,81.45,1.7200012,2.1473174,29.0,193,1.5234398828124998,True,REGULAR,USD
14,MSFT210416C00180000,2021-04-12 17:41:08,180.0,77.15,75.3,76.15,2.75,3.6962364,6.0,287,1.0000000000000003e-05,True,REGULAR,USD
15,MSFT210416C00185000,2021-04-12 16:50:07,185.0,72.25,70.6,71.25,3.4199982,4.968761,5.0,0,0.992187578125,True,REGULAR,USD
16,MSFT210416C00190000,2021-04-12 17:24:19,190.0,66.87,65.85,66.25,1.1200027,1.7034262,3.0,393,0.92187578125,True,REGULAR,USD
17,MSFT210416C00195000,2021-04-12 18:32:41,195.0,61.4,60.8,61.3,1.1000023,1.8242161,3.0,0,0.9726565234375,True,REGULAR,USD
18,MSFT210416C00200000,2021-04-12 18:40:18,200.0,56.35,55.7,56.4,2.1499977,3.9667854,57.0,0,1.0058643457031249,True,REGULAR,USD
19,MSFT210416C00205000,2021-04-12 17:24:34,205.0,52.3,50.75,51.25,2.9500008,5.9777117,35.0,1299,0.70312796875,True,REGULAR,USD
