,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
21,MSFT210416C00210000,2021-04-12 19:18:07,210.0,45.67,45.7,46.25,-0.33000183,-0.7173953,248.0,3394,0.632816171875,True,REGULAR,USD
22,MSFT210416C00212500,2021-04-12 17:30:38,212.5,44.82,43.35,43.75,7.970001,21.628227,16.0,28,0.6015664843750002,True,REGULAR,USD
23,MSFT210416C00215000,2021-04-12 18:56:00,215.0,40.99,40.8,41.5,0.24000168,0.5889612,120.0,0,0.804689453125,True,REGULAR,USD
25,MSFT210416C00220000,2021-04-12 19:22:30,220.0,36.11,36.0,36.25,0.11000061,0.30555725,751.0,0,0.500005,True,REGULAR,USD
27,MSFT210416C00225000,2021-04-12 19:22:43,225.0,31.15,30.75,31.3,0.14999962,0.48386973,113.0,3029,0.50586431640625,True,REGULAR,USD
28,MSFT210416C00227500,2021-04-12 19:22:17,227.5,28.92,28.05,28.85,2.1200008,7.9104514,7.0,136,0.506840869140625,True,REGULAR,USD
29,MSFT210416C00230000,2021-04-12 19:18:07,230.0,25.72,25.8,26.2,-0.10000038,-0.38729814,3173.0,0,1.0000000000000003e-05,True,REGULAR,USD
30,MSFT210416C00232500,2021-04-12 19:17:53,232.5,23.2,23.25,23.85,1.2000008,5.454549,9.0,877,0.42676354492187507,True,REGULAR,USD
31,MSFT210416C00235000,2021-04-12 19:22:31,235.0,21.15,20.8,21.25,0.6499996,3.1707299,305.0,8858,0.3007882421875,True,REGULAR,USD
32,MSFT210416C00237500,2021-04-12 19:19:50,237.5,18.5,18.45,18.95,0.65999985,3.6995506,64.0,0,0.3881897119140625,True,REGULAR,USD
33,MSFT210416C00240000,2021-04-12 19:22:46,240.0,16.07,16.1,16.25,-0.13000107,-0.8024757,4697.0,0,0.23438265625,True,REGULAR,USD
34,MSFT210416C00242500,2021-04-12 19:21:07,242.5,13.5,13.55,13.85,0.13000011,0.972327,202.0,2366,0.26563234375,True,REGULAR,USD
36,MSFT210416C00247500,2021-04-12 19:25:05,247.5,8.9,8.8,9.05,0.049999237,0.5649631,345.0,3541,0.2304764453125,True,REGULAR,USD
37,MSFT210416C00250000,2021-04-12 19:23:09,250.0,6.7,6.55,6.75,-0.0800004,-1.1799469,6263.0,20368,0.2104571142578125,True,REGULAR,USD
38,MSFT210416C00252500,2021-04-12 19:23:20,252.5,4.7,4.65,4.7,-0.10000038,-2.0833411,2384.0,9788,0.20081365600585935,True,REGULAR,USD
39,MSFT210416C00255000,2021-04-12 19:24:14,255.0,3.05,3.0,3.1,-0.1500001,-4.687503,22189.0,0,0.20410952148437497,True,REGULAR,USD
40,MSFT210416C00257500,2021-04-12 19:24:42,257.5,1.8,1.78,1.81,-0.21000004,-10.447763,24754.0,7910,0.19947089599609374,False,REGULAR,USD
41,MSFT210416C00260000,2021-04-12 19:24:30,260.0,1.02,1.02,1.04,-0.14999998,-12.820511,45140.0,0,0.20606262695312497,False,REGULAR,USD
42,MSFT210416C00265000,2021-04-12 19:24:45,265.0,0.3,0.29,0.31,-0.13,-30.232557,7640.0,0,0.22168747070312497,False,REGULAR,USD
43,MSFT210416C00270000,2021-04-12 19:22:11,270.0,0.1,0.11,0.12,-0.07,-41.17647,3225.0,0,0.252937158203125,False,REGULAR,USD
44,MSFT210416C00275000,2021-04-12 19:16:22,275.0,0.05,0.06,0.07,-0.040000003,-44.444447,2664.0,0,0.295905478515625,False,REGULAR,USD
45,MSFT210416C00280000,2021-04-12 18:55:00,280.0,0.04,0.03,0.05,-0.02,-33.333336,1139.0,0,0.34180345703125,False,REGULAR,USD
46,MSFT210416C00285000,2021-04-12 19:14:28,285.0,0.03,0.03,0.04,-0.01,-25.0,1625.0,0,0.38867798828125,False,REGULAR,USD
48,MSFT210416C00295000,2021-04-12 18:50:55,295.0,0.03,0.02,0.03,0.01,50.0,100.0,0,0.4804739453125,False,REGULAR,USD
49,MSFT210416C00300000,2021-04-12 19:25:09,300.0,0.01,0.01,0.02,-0.01,-50.0,63.0,4910,0.507817421875,False,REGULAR,USD
52,MSFT210416C00315000,2021-04-12 14:22:25,315.0,0.01,0.0,0.01,-0.01,-50.0,11.0,947,0.5625043750000001,False,REGULAR,USD
